,idea,TP,scientists_invested,times_invested,avg_k,total_effort (marginal),prop_invested,total_pr,total_ar
56,56,1,1.0,1.0,17.58,4.475845450487256,0.00745974241747876,81.37,85.81
57,57,1,1.0,1.0,22.8,12.918333424968647,0.02153055570828108,53.37,48.1
58,58,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,1,1.0,2.0,21.21,15.793530431028017,0.02632255071838003,67.91,61.88
60,60,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,2,1.0,1.0,15.35,20.84716109628095,0.03474526849380158,60.19,59.52
64,64,2,17.0,37.0,18.47,565.5051422368119,0.9425085703946866,9535.56,9472.5
65,65,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,2,1.0,1.0,14.06,7.020578586855972,0.01170096431142662,98.94,92.28
69,69,2,1.0,1.0,14.52,13.48332700281436,0.022472211671357267,47.36,44.16
70,70,2,13.0,26.0,13.54,495.12207683143845,0.8252034613857308,9601.39,9646.06
71,71,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74,2,1.0,2.0,26.34,14.66281635408367,0.024438027256806116,103.36,95.77
75,75,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,2,1.0,1.0,10.76,1.8887739182284626,0.003147956530380771,52.19,52.16
78,78,2,1.0,1.0,16.63,14.056710800982724,0.023427851334971207,71.54,63.99
79,79,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83,2,1.0,1.0,19.97,8.432274856027234,0.014053791426712058,70.66,79.85
84,84,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,2,1.0,1.0,19.18,11.613208336514248,0.019355347227523745,77.8,69.58
87,87,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,88,2,1.0,1.0,12.36,22.121375866703907,0.03686895977783985,73.38,71.11
